event_datetime,geometry,camera_id
2022-04-27 11:30:00,POINT (-74.106440146 4.694589467999999),DEI-011/CAM-01
2022-04-27 11:30:00,POINT (-74.106440146 4.694589467999999),DEI-011/CAM-02
2022-04-27 11:30:00,POINT (-74.106440146 4.694589467999999),DEI-020/CAM-01
2022-04-27 11:30:00,POINT (-74.106440146 4.694589467999999),DEI-020/CAM-02
2022-04-27 11:30:00,POINT (-74.106440146 4.694589467999999),DEI-031/CAM-01
2022-04-27 11:30:00,POINT (-74.106440146 4.694589467999999),DEI-031/CAM-02
2022-04-27 11:30:00,POINT (-74.106440146 4.694589467999999),DEI-037/CAM-01
2022-04-27 11:30:00,POINT (-74.106440146 4.694589467999999),DEI-037/CAM-02
2022-04-27 08:00:00,POINT (-74.081 4.62700000000001),DEI-012/CAM-01
2022-04-27 08:00:00,POINT (-74.081 4.62700000000001),DEI-012/CAM-02
2022-04-27 08:00:00,POINT (-74.081 4.62700000000001),DEI-016/CAM-01
2022-04-27 08:00:00,POINT (-74.081 4.62700000000001),DEI-016/CAM-02
2022-04-27 08:00:00,POINT (-74.081 4.62700000000001),DEI-019/CAM-02
2022-04-27 08:00:00,POINT (-74.081 4.62700000000001),DEI-038/CAM-01
2022-04-27 08:00:00,POINT (-74.081 4.62700000000001),DEI-038/CAM-02
2022-04-27 15:06:00,POINT (-74.086 4.586999999999991),DEI-018/CAM-01
2022-04-27 15:06:00,POINT (-74.086 4.586999999999991),DEI-018/CAM-02
2022-04-27 15:06:00,POINT (-74.086 4.586999999999991),DEI-027/CAM-02
2022-04-26 18:21:00,POINT (-74.115 4.682999999999991),DEI-011/CAM-01
2022-04-26 18:21:00,POINT (-74.115 4.682999999999991),DEI-011/CAM-02
2022-04-26 18:21:00,POINT (-74.115 4.682999999999991),DEI-020/CAM-01
2022-04-26 18:21:00,POINT (-74.115 4.682999999999991),DEI-020/CAM-02
2022-04-26 18:21:00,POINT (-74.115 4.682999999999991),DEI-031/CAM-01
2022-04-26 18:21:00,POINT (-74.115 4.682999999999991),DEI-031/CAM-02
2022-04-26 18:21:00,POINT (-74.115 4.682999999999991),DEI-037/CAM-01
2022-04-26 18:21:00,POINT (-74.115 4.682999999999991),DEI-037/CAM-02
2022-04-27 10:53:00,POINT (-74.12 4.6569999999999805),DEI-001/CAM-01
2022-04-27 10:53:00,POINT (-74.12 4.6569999999999805),DEI-001/CAM-02
2022-04-27 10:53:00,POINT (-74.12 4.6569999999999805),DEI-002/CAM-01
2022-04-27 10:53:00,POINT (-74.12 4.6569999999999805),DEI-002/CAM-02
2022-04-27 10:53:00,POINT (-74.12 4.6569999999999805),DEI-006/CAM-01
2022-04-27 10:53:00,POINT (-74.12 4.6569999999999805),DEI-006/CAM-02
2022-04-27 10:53:00,POINT (-74.12 4.6569999999999805),DEI-007/CAM-02
2022-04-27 10:53:00,POINT (-74.12 4.6569999999999805),DEI-007/CAM-03
2022-04-27 10:53:00,POINT (-74.12 4.6569999999999805),DEI-009/CAM-01
2022-04-27 10:53:00,POINT (-74.12 4.6569999999999805),DEI-009/CAM-02
2022-04-27 10:53:00,POINT (-74.12 4.6569999999999805),DEI-023/CAM-01
2022-04-27 10:53:00,POINT (-74.12 4.6569999999999805),DEI-023/CAM-02
2022-04-27 10:53:00,POINT (-74.12 4.6569999999999805),DEI-030/CAM-01
2022-04-27 10:53:00,POINT (-74.12 4.6569999999999805),DEI-030/CAM-02
2022-04-27 13:45:00,POINT (-74.067464313 4.673959165999968),DEI-012/CAM-01
2022-04-27 13:45:00,POINT (-74.067464313 4.673959165999968),DEI-012/CAM-02
2022-04-27 13:45:00,POINT (-74.067464313 4.673959165999968),DEI-013/CAM-01
2022-04-27 13:45:00,POINT (-74.067464313 4.673959165999968),DEI-013/CAM-02
2022-04-27 13:45:00,POINT (-74.067464313 4.673959165999968),DEI-016/CAM-01
2022-04-27 13:45:00,POINT (-74.067464313 4.673959165999968),DEI-016/CAM-03
2022-04-27 13:45:00,POINT (-74.067464313 4.673959165999968),DEI-019/CAM-01
2022-04-27 13:45:00,POINT (-74.067464313 4.673959165999968),DEI-033/CAM-01
2022-04-27 13:45:00,POINT (-74.067464313 4.673959165999968),DEI-033/CAM-02
2022-04-27 13:45:00,POINT (-74.067464313 4.673959165999968),DEI-038/CAM-01
2022-04-27 13:45:00,POINT (-74.067464313 4.673959165999968),DEI-038/CAM-02
2022-04-27 11:00:00,POINT (-74.059 4.672000000000031),DEI-010/CAM-03
2022-04-27 11:00:00,POINT (-74.059 4.672000000000031),DEI-010/CAM-04
2022-04-27 11:00:00,POINT (-74.059 4.672000000000031),DEI-017/CAM-03
2022-04-27 11:00:00,POINT (-74.059 4.672000000000031),DEI-017/CAM-04
2022-04-27 11:00:00,POINT (-74.059 4.672000000000031),DEI-022/CAM-01
2022-04-27 11:00:00,POINT (-74.059 4.672000000000031),DEI-022/CAM-02
2022-04-27 11:00:00,POINT (-74.059 4.672000000000031),DEI-022/CAM-03
